Avg Packet Size,Std. deviation of packet size,Total Bytes,AVG. IAT(ms),Std. daviation of IAT(ms),Flow duration(SECONDS),Push_flag_cnt,Avg_wind_size,Class
1494,76.3937170191,1494815,1.04,1.502132,1.037193,4,30015,multimedia
1493,84.5990543682,1493993,1.07,1.633712,1.071484,5,30015,multimedia
1495,71.056315694,1495707,1.06,1.478116,1.054515,3,30015,multimedia
1495,71.6030725598,1495423,1.25,1.837383,1.252678,4,30015,multimedia
1495,71.6030725598,1495423,1.13,1.566578,1.132377,4,30015,multimedia
1495,71.2460525222,1495537,1.06,1.897163,1.063292,4,30015,multimedia
1494,76.1708605702,1494361,1.2,1.735736,1.197244,7,30015,multimedia
1495,71.056315694,1495707,1.05,1.272715,1.046324,3,30015,multimedia
1495,71.056315694,1495707,1.04,1.597571,1.034899,3,30015,multimedia
1495,71.056315694,1495707,1.26,4.329797,1.25847,3,30015,multimedia
1495,71.6030725598,1495423,1.1,1.474395,1.103746,4,30015,multimedia
1495,71.6030725598,1495423,1.49,12.253225,1.489704,4,30015,multimedia
1495,71.056315694,1495707,1.1,1.86129,1.099353,3,30015,multimedia
1494,78,1494685,1.11,1.668015,1.10794,4,30015,multimedia
1494,74.7462373635,1494969,1.09,2.122404,1.093342,4,30015,multimedia
1493,81.4739222083,1493185,1.22,2.058595,1.222905,9,30015,multimedia
1495,71.6030725598,1495423,1.08,1.40451,1.07541,4,30015,multimedia
